Function,Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Factorial_20,C,factorial,-1,0.047058105468750000,0.030883789062500000,0.000000000000000000,0.005249023437500000,2,28.0,1604
Factorial_20,C,factorial,-1,0.062194824218750000,0.046875000000000000,0.000000000000000000,0.008361816406250000,2,28.0,1640
Factorial_20,C,factorial,-1,0.045593261718750000,0.023132324218750000,0.000000000000000000,0.007690429687500000,3,28.0,1740
Factorial_20,C,factorial,-1,0.048767089843750000,0.025451660156250000,0.000000000000000000,0.007873535156250000,3,28.0,1740
Factorial_20,C,factorial,-1,0.047302246093750000,0.024536132812500000,0.000000000000000000,0.007690429687500000,3,28.0,1676
Factorial_20,C,factorial,-1,0.050231933593750000,0.026977539062500000,0.000000000000000000,0.007934570312500000,3,28.0,1652
Factorial_20,C,factorial,-1,0.049438476562500000,0.026000976562500000,0.000000000000000000,0.007812500000000000,3,28.0,1660
Factorial_20,C,factorial,-1,0.047729492187500000,0.025146484375000000,0.000000000000000000,0.007568359375000000,2,28.0,1676
Factorial_20,C,factorial,-1,0.065795898437500000,0.034973144531250000,0.000000000000000000,0.010498046875000000,3,28.0,1744
Factorial_20,C,factorial,-1,0.049743652343750000,0.025878906250000000,0.000000000000000000,0.007629394531250000,3,28.0,1672
Factorial_30,C,factorial,-1,0.052917480468750000,0.029113769531250000,0.000000000000000000,0.007812500000000000,2,28.0,1584
Factorial_30,C,factorial,-1,0.046936035156250000,0.024536132812500000,0.000000000000000000,0.010375976562500000,2,28.0,1604
Factorial_30,C,factorial,-1,0.059082031250000000,0.034057617187500000,0.000000000000000000,0.008178710937500000,3,28.0,1628
Factorial_30,C,factorial,-1,0.048217773437500000,0.024597167968750000,0.000000000000000000,0.007873535156250000,3,28.0,1652
Factorial_30,C,factorial,-1,0.046691894531250000,0.023986816406250000,0.000000000000000000,0.007629394531250000,3,28.0,1680
Factorial_30,C,factorial,-1,0.064270019531250000,0.032531738281250000,0.000000000000000000,0.010375976562500000,3,28.0,1608
Factorial_30,C,factorial,-1,0.046752929687500000,0.024291992187500000,0.000000000000000000,0.007690429687500000,3,28.0,1636
Factorial_30,C,factorial,-1,0.051574707031250000,0.028076171875000000,0.000000000000000000,0.008178710937500000,3,28.0,1660
Factorial_30,C,factorial,-1,0.049438476562500000,0.026367187500000000,0.000000000000000000,0.007995605468750000,3,28.0,1660
Factorial_30,C,factorial,-1,0.069030761718750000,0.036132812500000000,0.000000000000000000,0.010742187500000000,3,28.0,1676
Factorial_40,C,factorial,-1,0.052978515625000000,0.029357910156250000,0.000000000000000000,0.007995605468750000,3,28.0,1676
Factorial_40,C,factorial,-1,0.048950195312500000,0.025878906250000000,0.000000000000000000,0.007934570312500000,3,28.0,1680
Factorial_40,C,factorial,-1,0.056579589843750000,0.032409667968750000,0.000000000000000000,0.008300781250000000,3,28.0,1672
Factorial_40,C,factorial,-1,0.069763183593750000,0.029235839843750000,0.000000000000000000,0.013183593750000000,3,28.0,1640
Factorial_40,C,factorial,-1,0.062988281250000000,0.030639648437500000,0.000000000000000000,0.010375976562500000,3,28.0,1684
Factorial_40,C,factorial,-1,0.050598144531250000,0.026855468750000000,0.000000000000000000,0.007995605468750000,3,28.0,1628
Factorial_40,C,factorial,-1,0.049133300781250000,0.025634765625000000,0.000000000000000000,0.007873535156250000,3,28.0,1632
Factorial_40,C,factorial,-1,0.050537109375000000,0.027526855468750000,0.000000000000000000,0.007995605468750000,3,28.0,1660
Factorial_40,C,factorial,-1,0.064514160156250000,0.032714843750000000,0.000000000000000000,0.010437011718750000,3,28.0,1688
Factorial_40,C,factorial,-1,0.052734375000000000,0.030212402343750000,0.000000000000000000,0.008361816406250000,3,28.0,1740
FibonacciLinear_20,C,fibonacciLinear,-1,0.092590332031250000,0.043457031250000000,0.000000000000000000,0.016296386718750000,6,28.0,1584
FibonacciLinear_20,C,fibonacciLinear,-1,0.057678222656250000,0.027832031250000000,0.000000000000000000,0.010498046875000000,3,28.0,1652
FibonacciLinear_20,C,fibonacciLinear,-1,0.064819335937500000,0.033142089843750000,0.000000000000000000,0.010559082031250000,3,28.0,1688
FibonacciLinear_20,C,fibonacciLinear,-1,0.047607421875000000,0.024780273437500000,0.000000000000000000,0.007812500000000000,3,28.0,1684
FibonacciLinear_20,C,fibonacciLinear,-1,0.049499511718750000,0.034423828125000000,0.000000000000000000,0.010498046875000000,3,28.0,1684
FibonacciLinear_20,C,fibonacciLinear,-1,0.050476074218750000,0.027709960937500000,0.000000000000000000,0.007934570312500000,3,28.0,1588
FibonacciLinear_20,C,fibonacciLinear,-1,0.061401367187500000,0.030944824218750000,0.000000000000000000,0.010437011718750000,3,28.0,1608
FibonacciLinear_20,C,fibonacciLinear,-1,0.047729492187500000,0.025146484375000000,0.000000000000000000,0.007812500000000000,3,28.0,1580
FibonacciLinear_20,C,fibonacciLinear,-1,0.045410156250000000,0.023620605468750000,0.000000000000000000,0.007568359375000000,2,28.0,1604
FibonacciLinear_20,C,fibonacciLinear,-1,0.052673339843750000,0.027709960937500000,0.000000000000000000,0.007995605468750000,3,28.0,1684
FibonacciLinear_30,C,fibonacciLinear,-1,0.045166015625000000,0.031555175781250000,0.000000000000000000,0.010620117187500000,3,28.0,1604
FibonacciLinear_30,C,fibonacciLinear,-1,0.064880371093750000,0.032714843750000000,0.000000000000000000,0.010559082031250000,3,28.0,1652
FibonacciLinear_30,C,fibonacciLinear,-1,0.047119140625000000,0.024719238281250000,0.000000000000000000,0.010253906250000000,2,28.0,1664
FibonacciLinear_30,C,fibonacciLinear,-1,0.065795898437500000,0.029296875000000000,0.000000000000000000,0.008056640625000000,3,28.0,1652
FibonacciLinear_30,C,fibonacciLinear,-1,0.048400878906250000,0.025268554687500000,0.000000000000000000,0.007690429687500000,2,28.0,1604
FibonacciLinear_30,C,fibonacciLinear,-1,0.064514160156250000,0.032653808593750000,0.000000000000000000,0.007751464843750000,3,28.0,1652
FibonacciLinear_30,C,fibonacciLinear,-1,0.049926757812500000,0.026306152343750000,0.000000000000000000,0.007812500000000000,3,28.0,1652
