Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibonacciLinear, -1, 0.053955078125000000, 0.029724121093750000, 0.000000000000000000, 0.007934570312500000, 2, 28.5, 1528
C, fibonacciLinear, -1, 0.050048828125000000, 0.026855468750000000, 0.000000000000000000, 0.007812500000000000, 3, 28.5, 1620
C, fibonacciLinear, -1, 0.047912597656250000, 0.024963378906250000, 0.000000000000000000, 0.010559082031250000, 3, 28.5, 1572
C, fibonacciLinear, -1, 0.048339843750000000, 0.025390625000000000, 0.000000000000000000, 0.007812500000000000, 3, 28.5, 1568
C, fibonacciLinear, -1, 0.049926757812500000, 0.026306152343750000, 0.000000000000000000, 0.007812500000000000, 3, 28.5, 1660
C, fibonacciLinear, -1, 0.049255371093750000, 0.026184082031250000, 0.000000000000000000, 0.007629394531250000, 3, 28.5, 1572
C, fibonacciLinear, -1, 0.049926757812500000, 0.026794433593750000, 0.000000000000000000, 0.007629394531250000, 2, 28.5, 1556
C, fibonacciLinear, -1, 0.048767089843750000, 0.026123046875000000, 0.000000000000000000, 0.007751464843750000, 3, 28.5, 1556
C, fibonacciLinear, -1, 0.068054199218750000, 0.035827636718750000, 0.000000000000000000, 0.010742187500000000, 3, 28.5, 1604
C, fibonacciLinear, -1, 0.049438476562500000, 0.025268554687500000, 0.000000000000000000, 0.007690429687500000, 3, 28.5, 1604
