Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, factorial, -1, 0.052978515625000000, 0.029357910156250000, 0.000000000000000000, 0.007995605468750000, 3, 28.0, 1676
C, factorial, -1, 0.048950195312500000, 0.025878906250000000, 0.000000000000000000, 0.007934570312500000, 3, 28.0, 1680
C, factorial, -1, 0.056579589843750000, 0.032409667968750000, 0.000000000000000000, 0.008300781250000000, 3, 28.0, 1672
C, factorial, -1, 0.069763183593750000, 0.029235839843750000, 0.000000000000000000, 0.013183593750000000, 3, 28.0, 1640
C, factorial, -1, 0.062988281250000000, 0.030639648437500000, 0.000000000000000000, 0.010375976562500000, 3, 28.0, 1684
C, factorial, -1, 0.050598144531250000, 0.026855468750000000, 0.000000000000000000, 0.007995605468750000, 3, 28.0, 1628
C, factorial, -1, 0.049133300781250000, 0.025634765625000000, 0.000000000000000000, 0.007873535156250000, 3, 28.0, 1632
C, factorial, -1, 0.050537109375000000, 0.027526855468750000, 0.000000000000000000, 0.007995605468750000, 3, 28.0, 1660
C, factorial, -1, 0.064514160156250000, 0.032714843750000000, 0.000000000000000000, 0.010437011718750000, 3, 28.0, 1688
C, factorial, -1, 0.052734375000000000, 0.030212402343750000, 0.000000000000000000, 0.008361816406250000, 3, 28.0, 1740
