Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibonacciRecursiva, -1, 0.051208496093750000, 0.028015136718750000, 0.000000000000000000, 0.007934570312500000, 3, 28.5, 1572
C, fibonacciRecursiva, -1, 0.063232421875000000, 0.031799316406250000, 0.000000000000000000, 0.010070800781250000, 3, 28.5, 1556
C, fibonacciRecursiva, -1, 0.050659179687500000, 0.026428222656250000, 0.000000000000000000, 0.007751464843750000, 3, 28.5, 1676
C, fibonacciRecursiva, -1, 0.050354003906250000, 0.026855468750000000, 0.000000000000000000, 0.007751464843750000, 3, 28.5, 1624
C, fibonacciRecursiva, -1, 0.047180175781250000, 0.024230957031250000, 0.000000000000000000, 0.007690429687500000, 3, 28.5, 1572
C, fibonacciRecursiva, -1, 0.048828125000000000, 0.025207519531250000, 0.000000000000000000, 0.007629394531250000, 3, 28.5, 1660
C, fibonacciRecursiva, -1, 0.048583984375000000, 0.025268554687500000, 0.000000000000000000, 0.007812500000000000, 3, 28.5, 1620
C, fibonacciRecursiva, -1, 0.069274902343750000, 0.035949707031250000, 0.000000000000000000, 0.007995605468750000, 3, 28.5, 1604
C, fibonacciRecursiva, -1, 0.047424316406250000, 0.024475097656250000, 0.000000000000000000, 0.007690429687500000, 3, 28.5, 1672
C, fibonacciRecursiva, -1, 0.047180175781250000, 0.024353027343750000, 0.000000000000000000, 0.010253906250000000, 3, 28.5, 1576
